,Name job,Link,Min_salary,Max_salary,Where,Employer,Employer_link,Address
77,Разработчик Python,https://hh.ru/vacancy/49060097?from=vacancy_search_list&query=Python,,,hh.ru,Integrity Solutions,https://hh.ru/employer/5286441,Москва
78,Python разработчик,https://hh.ru/vacancy/48982344?from=vacancy_search_list&query=Python,150000.0,180000.0,hh.ru,Leads,https://hh.ru/employer/783222,Москва
79,Инженер-программист Python,https://hh.ru/vacancy/49051205?from=vacancy_search_list&query=Python,150000.0,200000.0,hh.ru,IT_Selection,https://hh.ru/employer/747028,Москва
80,Backend Python разработчик,https://hh.ru/vacancy/48546755?from=vacancy_search_list&query=Python,,,hh.ru,Центр хранения и анализа больших данных,https://hh.ru/employer/4572865,Москва
81,Junior/Middle Python Developer,https://hh.ru/vacancy/48974304?from=vacancy_search_list&query=Python,,150000.0,hh.ru,Algalon Capital,https://hh.ru/employer/3011645,"Москва, Выставочная и еще 1 "
82,Разработчик Python (Senior),https://hh.ru/vacancy/44811190?from=vacancy_search_list&query=Python,,,hh.ru,ООО Страховая компания «Сбербанк страхование»,https://hh.ru/employer/1809605,Москва
83,Python разработчик,https://hh.ru/vacancy/49037748?from=vacancy_search_list&query=Python,,,hh.ru,УК ТАВРОС,https://hh.ru/employer/1322961,"Москва, Зорге и еще 2 "
84,Python Developer,https://hh.ru/vacancy/49073433?from=vacancy_search_list&query=Python,,,hh.ru,Andersen,https://hh.ru/employer/851604,Москва
85,Разработчик на Python и Spark (Облако данных),https://hh.ru/vacancy/49016492?from=vacancy_search_list&query=Python,,,hh.ru,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва
86,Разработчик Python,https://hh.ru/vacancy/49009237?from=vacancy_search_list&query=Python,,,hh.ru,Лига Цифровой Экономики,https://hh.ru/employer/2733062,"Москва, Савеловская"
87,Программист Python,https://hh.ru/vacancy/49018319?from=vacancy_search_list&query=Python,,,hh.ru,ООО Джобблог,https://hh.ru/employer/5101965,Москва
88,Разработчик Python,https://hh.ru/vacancy/48993749?from=vacancy_search_list&query=Python,,,hh.ru,Ай-Теко (I-Teco),https://hh.ru/employer/115,Москва
89,Python разработчик,https://hh.ru/vacancy/48903574?from=vacancy_search_list&query=Python,,,hh.ru,ООО Строительный Двор,https://hh.ru/employer/665449,"Москва, Выставочная"
90,Преподаватель курса  “Python” (Python developer),https://hh.ru/vacancy/48214691?from=vacancy_search_list&query=Python,,,hh.ru,GeekBrains,https://hh.ru/employer/1111672,Москва
91,Программист Python,https://hh.ru/vacancy/48437592?from=vacancy_search_list&query=Python,120000.0,,hh.ru,Фирма ВОДОКОМФОРТ,https://hh.ru/employer/1256842,"Москва, Павелецкая и еще 1 "
92,Senior Python Developer,https://hh.ru/vacancy/47642650?from=vacancy_search_list&query=Python,150000.0,250000.0,hh.ru,ООО Интеллектуальные Продукты,https://hh.ru/employer/5482268,Москва
93,"Преподаватель по курсу “Python”/ ""Асинхронный чат-сервер""/ Python developer",https://hh.ru/vacancy/48213974?from=vacancy_search_list&query=Python,,,hh.ru,GeekBrains,https://hh.ru/employer/1111672,Москва
94,Разработчик Python (Middle),https://hh.ru/vacancy/48978644?from=vacancy_search_list&query=Python,150000.0,200000.0,hh.ru,ООО HR-PROFI,https://hh.ru/employer/1883675,Москва
95,Python developer,https://hh.ru/vacancy/46898066?from=vacancy_search_list&query=Python,,,hh.ru,VK,https://hh.ru/employer/15478?dpt=mailru-15478-other,Москва
96,Senior Python-Разработчик (удаленно),https://hh.ru/vacancy/47484756?from=vacancy_search_list&query=Python,180000.0,,hh.ru,BestDoctor,https://hh.ru/employer/2730772,Москва
97,Senior Data Engineer,https://hh.ru/vacancy/49031421?from=vacancy_search_list&query=Python,,350000.0,hh.ru,inDriver,https://hh.ru/employer/2524797,"Москва, Белорусская"
98,Разработчик python (Middle/Senior),https://hh.ru/vacancy/48469486?from=vacancy_search_list&query=Python,,,hh.ru,Eqvanta,https://hh.ru/employer/3785152,Москва
99,Python developer (Cybersecurity),https://hh.ru/vacancy/46660207?from=vacancy_search_list&query=Python,,,hh.ru,BI.ZONE Направление Разработка,https://hh.ru/employer/2367681?dpt=2367681-2367681-dev,"Москва, Бауманская и еще 2 "
100,Python Developer/ Разработчик Python,https://hh.ru/vacancy/47394431?from=vacancy_search_list&query=Python,,,hh.ru,ПАО ТрансКонтейнер,https://hh.ru/employer/65922,Москва
101,Python Developer,https://hh.ru/vacancy/48855087?from=vacancy_search_list&query=Python,,,hh.ru,ЛитРес,https://hh.ru/employer/745654,"Москва, Выставочная и еще 1 "
102,Python developer (Kaspersky Anti Targeted Attack),https://hh.ru/vacancy/42522896?from=vacancy_search_list&query=Python,,,hh.ru,Лаборатория Касперского,https://hh.ru/employer/1057,"Москва, Водный стадион"
103,Разработчик DWH (Airflow + Python),https://hh.ru/vacancy/48936279?from=vacancy_search_list&query=Python,,,hh.ru,MERLION,https://hh.ru/employer/816,Москва
104,Старший Python разработчик,https://hh.ru/vacancy/48801385?from=vacancy_search_list&query=Python,,200000.0,hh.ru,Eugene Global Consulting,https://hh.ru/employer/1351185,Москва
105,Python Developer (Remote),https://hh.ru/vacancy/48917750?from=vacancy_search_list&query=Python,243000.0,382000.0,hh.ru,ГК «ВИЗАВИ Консалт»,https://hh.ru/employer/1326,Москва
106,Python developer,https://hh.ru/vacancy/48981888?from=vacancy_search_list&query=Python,,,hh.ru,Лига Цифровой Экономики,https://hh.ru/employer/2733062,Москва
107,Программист Python,https://hh.ru/vacancy/48442668?from=vacancy_search_list&query=Python,,,hh.ru,Московская школа управления СКОЛКОВО,https://hh.ru/employer/48059,Москва
108,"Бэкэнд-разработчик (Python, Django)",https://hh.ru/vacancy/48896096?from=vacancy_search_list&query=Python,208000.0,278000.0,hh.ru,Ergeon,https://hh.ru/employer/3833309,Москва
109,Middle/Senior Python Developer (Программист Python),https://hh.ru/vacancy/48379511?from=vacancy_search_list&query=Python,,,hh.ru,Rainforest Life Pte Ltd,https://hh.ru/employer/5478097,Москва
110,Python-разработчик (Confer),https://hh.ru/vacancy/47752511?from=vacancy_search_list&query=Python,,,hh.ru,Домклик,https://hh.ru/employer/2136954,Москва
111,Python Developer,https://hh.ru/vacancy/48896098?from=vacancy_search_list&query=Python,208000.0,278000.0,hh.ru,Ergeon,https://hh.ru/employer/3833309,Москва
112,Python developer (Django),https://hh.ru/vacancy/46201697?from=vacancy_search_list&query=Python,,,hh.ru,Kokoc Group,https://hh.ru/employer/219425,Москва
113,Инженер-программист Python,https://hh.ru/vacancy/45398264?from=vacancy_search_list&query=Python,,,hh.ru,ПАО Магнитогорский металлургический комбинат,https://hh.ru/employer/824486,Москва
114,Python разработчик,https://hh.ru/vacancy/48058113?from=vacancy_search_list&query=Python,,,hh.ru,TalentTech,https://hh.ru/employer/3238482,"Москва, Марьина Роща и еще 2 "
